Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2017-02-10,2.0175,1.8002,1.4562,1.9273,1.9215,2.2212,0.51,0.8131,2.4354,-3.97,1.5759,0.687384188
2017-02-17,-0.3562,0.1682,0.233,1.946,0.2342,0.9743,1.2,1.5138,-0.7447,1.29,1.6104,0.955491502
2017-02-24,2.6372,1.6039,1.5318,-0.2831,0.3018,-0.0952,0.23,0.6882,0.2543,0.27,-0.4252,0.334732248
2017-03-03,-0.7489,-1.0795,-1.3239,-1.7232,0.1704,-1.0488,0.44,0.6666,0.9626,-1.69,0.427,-0.224838252
2017-03-10,-0.3106,-0.1725,0.0008,0.0677,0.3526,-0.2106,-0.17,-0.4414,0.6957,-2.76,-0.8504,0.808106722
2017-03-17,0.7148,0.7684,0.5226,3.1451,1.1499,2.9165,0.93,0.2381,-0.4235,2.17,-1.3645,2.469510169
2017-03-24,1.1168,0.9884,1.271,0.1988,-0.8355,-0.0576,-0.93,-1.441,-1.327,-1.16,-1.8379,-0.05749917
2017-03-31,-2.1664,-1.4354,-0.9615,-1.0127,1.0248,-0.9236,0.43,0.7995,-1.834,5.79,1.6308,-0.72654175
2017-04-07,2.667,1.9892,1.7771,0.6458,0.068,0.6304,-0.44,-0.3039,-1.2937,0.64,-2.6149,0.380651586
2017-04-14,-0.5993,-1.2338,-0.8801,-0.0232,-0.2527,-1.4224,-0.71,-1.1288,-1.7627,0.87,0.6103,0.00568214
2017-04-21,-3.445,-2.2463,-0.5656,-0.9053,-0.928,-0.1595,0.53,0.8476,1.555,1.9,0.5661,0.917896241
2017-04-28,-1.5547,-0.5828,-0.7798,2.3838,1.1341,1.5909,1.97,1.5119,3.0933,6.43,1.9702,3.349186836
2017-05-05,-1.9844,-1.6363,-1.663,-0.5638,1.7097,0.283,0.98,0.6329,1.2969,0.46,1.459,0.602187735
2017-05-12,-3.7623,-0.6292,0.0836,2.7782,0.7914,0.8776,-0.2,-0.3497,2.2535,1.19,0.4664,2.827511681
2017-05-19,2.1019,0.2308,0.5456,0.0737,-1.1787,-0.3925,0.1,-0.3835,-1.4743,1.29,-0.677,0.002720302
2017-05-26,-1.7341,0.6286,2.25,1.8447,0.0777,1.5514,0.92,1.4313,0.4904,-3.74,1.0321,1.71185451
2017-06-02,-0.4849,-0.1453,0.1745,1.1107,0.6396,0.5007,1.2,0.9624,2.4912,3.35,0.4819,0.314188797
2017-06-09,3.7852,1.7021,2.5717,0.4098,0.4377,0.4641,-0.64,-0.2993,-0.8129,-1.93,-3.0884,2.677136631
2017-06-16,0.6085,-1.1156,-1.6053,-1.5513,-0.6991,-0.4208,0.02,0.0567,-0.3498,7.73,3.2067,-1.151137271
2017-06-23,-0.3898,1.1113,2.9591,0.17,-0.6799,2.1756,0.09,0.2117,0.9497,0.67,1.2466,2.94131096
2017-06-30,3.1753,1.0942,1.2121,0.3683,0.53,0.1674,-0.45,-0.6107,-0.4929,-0.49,1.5533,-1.118670088
2017-07-07,1.0668,0.7997,-0.2964,-1.6446,0.0784,-0.941,-0.17,0.073,-0.5208,1.32,-2.1265,-0.371187907
2017-07-14,-1.2089,0.1386,1.2901,4.1371,1.8092,1.4243,1.82,1.4057,0.9522,0.21,1.7343,4.196870368
2017-07-21,0.2546,0.483,0.6887,1.2007,0.8119,-0.069,0.55,0.5396,-0.095,2.02,-2.5478,1.029501281
2017-07-28,1.7215,0.4712,-0.1799,1.0234,0.5018,-0.1308,0.08,-0.0178,-0.6961,0.4,-0.4421,0.408139874
2017-08-04,0.5947,0.2717,-0.3845,2.162,-0.127,0.8012,0.38,0.1913,-0.0376,2.73,1.2937,-0.093782304
